"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19292","API and UI validation using util","","2025-12-24","passed","2025-12-24","","APIandUICheckWithUtils.spec.js","",""
"","19730","Login and Order with API and order UI Validation","","2025-12-24","passed","2025-12-24","","WebAPIandUIChecks.spec.js","",""
"","12224","Handle Date selection","","2025-12-24","passed","2025-12-24","","WebElementPractice.spec.js","",""
"","28630","End to End Client App with POM with JSON Test Data for ZARA COAT 3","","2025-12-24","passed","2025-12-24","","UI_EndToEnd_ClientwithPOMwithJSONDataDriven.spec.js","",""
"","20936","Handle Dialog Boxes","","2025-12-24","passed","2025-12-24","","WebElementPractice.spec.js","",""
"","30151","End to End Client App","","2025-12-24","broken","2025-12-24","","UI_EndToEnd_Client.spec.js","",""
"","24608","Handle new window and tab","","2025-12-24","passed","2025-12-24","","WebElementPractice.spec.js","",""
"","18849","Update Price with Excel operation","","2025-12-24","passed","2025-12-24","","ExcelOperation.spec.js","",""
"","33696","End to End Client App with POM with JSON Test Data for ADIDAS ORIGINAL","","2025-12-24","broken","2025-12-24","","UI_EndToEnd_ClientwithPOMwithJSONDataDriven.spec.js","",""
"","22266","Verify abort calls","","2025-12-24","passed","2025-12-24","","APIInterception.spec.js","",""
"","28811","End to End Client App with POM","","2025-12-24","passed","2025-12-24","","UI_EndToEnd_ClientwithPOM.spec.js","",""
"","22433","Interact with iFrame","","2025-12-24","passed","2025-12-24","","WebElementPractice.spec.js","",""
"","24589","Interact with Web elements","","2025-12-24","passed","2025-12-24","","WebElementPractice.spec.js","",""
"","21871","Verify webelement visibility","","2025-12-24","passed","2025-12-24","","WebElementPractice.spec.js","",""
"","32617","End to End using API Login","","2025-12-24","passed","2025-12-24","","WebAPIandUIChecks.spec.js","",""
"","34570","End to End Client App with POM with JSON Test Data","","2025-12-24","passed","2025-12-24","","UI_EndToEnd_ClientwithPOMwithJSONTestData.spec.js","",""
"","22045","Verify unauthorized error message for incorrect order","","2025-12-24","passed","2025-12-24","","APIInterception.spec.js","",""
"","27692","End to End Client App with POM and Fixture Data","","2025-12-24","passed","2025-12-24","","UI_EndToEnd_ClientwithPOMwithFixtureTestData.spec.js","",""
"","21795","Check empty order message","","2025-12-24","passed","2025-12-24","","APIInterception.spec.js","",""
"","22893","Mouse hover menu interaction","","2025-12-24","passed","2025-12-24","","WebElementPractice.spec.js","",""
"","13883","Interact with tables","","2025-12-24","passed","2025-12-24","","WebElementPractice.spec.js","",""
